"","id","id.1","headline","google","deepl","gold","dutch_lemmas","google_lemmas","deepl_lemmas","nrc_postive_nl","nrc_negative_nl","nrc_fear_nl","nrc_trust_nl","nrc_postive_google","nrc_negative_google","nrc_fear_google","nrc_trust_google","nrc_postive_deepl","nrc_negative_deepl","nrc_fear_deepl","nrc_trust_deepl","db_hope_nl","db_fear_nl","db_hope_google","db_fear_google","db_hope_deepl","db_fear_deepl","LMD_negative_google","LMD_positive_google","LMD_uncertainty_google","LMD_littigious_google","LMD_constraining_google","LMD_superfluous_google","LMD_interesting_google","LMD_modelwordsstrong_google","LMD_negativedeepl_","LMD_positive_deepl","LMD_uncertainty_deepl","LMD_littigious_deepl","LMD_constraining_deepl","LMD_superfluous_deepl","LMD_interesting_deepl","LMD_modelwordsstrong_deepl","AFINN_negative_google","AFINN_positive_google","AFINN_negative_deepl","AFINN_positive_deepl","HuLiu_negative_google","HuLiu_positive_google","HuLiu_negative_deepl","HuLiu_positive_deepl","LSD_negative_google","LSD_positive_google","LSD_negative_deepl","LSD_positive_deepl","geninq_positive_google","geninq_negative_google","geninq_deepl_positive","geninq_deepl_negative","rid_positiveaffect_google","rid_anxiety_google","rid_sadness_google","rid_glory_google","rid_positiveaffect_deepl","rid_anxiety_deepl","rid_sadness_deepl","rid_glory_deepl"
"11",11,21973,"Britse werkloosheid daalt verder","British unemployment continues to fall","Unemployment continues to fall in the UK",1,"Brits werkloosheid dalen verder","british unemployment continue to fall","Unemployment continue to fall in the UK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"12",12,23549,"Grieken kunnen nog enkele weken vooruit","Greeks can continue a few weeks","Greeks still have a few weeks to go",0,"Grieken kunnen nog enkel week vooruit","Greek can continue a few week","Greek still have a few week to go",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,23939,"S&#38;P blijft somber over Griekenland","S &amp; P remains gloomy about Greece","S&#38;P remains gloomy about Greece",-1,"S&#38;P blijven somber over Griekenland","be &amp ; p remain gloomy about Greece","S&# 38;p remain gloomy about Greece",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"14",14,26193,"Wisselkoersen drukken winstgroei Michael Page","Exchange rates express earnings growth Michael Page","Exchange rates depressing earnings growth Michael Page",-1,"Wisselkoersen drukken winstgroei Michael Page","Exchange rate express earning growth Michael Page","Exchange rate depresse earning growth Michael page",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"15",15,26615,"TSN Thuiszorg wil 650 medewerkers kwijt","TSN Thuiszorg wants to lose 650 employees","TSN Home care wants to lose 650 employees",0,"TSN Thuiszorg willen 650 medewerker kwijten","TSN Thuiszorg want to lose 650 employee","TSN home care want to lose 650 employee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0
"16",16,26857,"Spaarrente duikt onder 1 procent","Savings is below 1 percent","Savings interest dives below 1 percent",-1,"Spaarrent duiken onder 1 procent","savings be below 1 percent","savings interest dive below 1 percent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"17",17,26983,"Grieks drama of Griekse redding?","Greek drama or Greek salvation?","Greek drama or Greek rescue?",0,"Grieks drama of Grieks redding ?","greek drama or greek salvation ?","greek drama or greek rescue ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"18",18,27069,"Spaarrente duikt onder 1 procent","Savings is below 1 percent","Savings interest dives below 1 percent",0,"Spaarrent duiken onder 1 procent","savings be below 1 percent","savings interest dive below 1 percent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"19",19,29203,"Meer hoop voor Grieken","More hope for Greeks","More hope for Greeks",1,"veel hoop voor Grieken","more hope for Greeks","more hope for Greeks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"20",20,30591,"Wall Street opent vrijwel onveranderd","Wall Street opens virtually unchanged","Wall Street opens almost unchanged",0,"Wall Street openen vrijwel onveranderd","wall Street open virtually unchanged","wall Street open almost unchanged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"21",21,30629,"Technologie kan groei VS aanjagen ","Technology can drive US growth","Technology can drive US growth",1,"technologie kunnen groei VS aanjagen","technology can drive US growth","technology can drive US growth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"22",22,31705,"Laagopgeleide raakt verder achterop","The less educated is further behind","Low-educated gets further behind",-1,"Laagopgeleide raken ver achterop","the less educated be further behind","low - educate get further behind",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0
"23",23,33235,"Beurshandel in teken Grieks marathonoverleg","Stock exchange sign Greek marathon meeting","Stock exchange trade in sign Greek marathon meeting",0,"Beurshandel in teken Grieks marathonoverleg","stock exchange sign greek marathon meeting","stock exchange trade in sign greek marathon meeting",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,34959,"Nog nooit exporteerde Duitsland zoveel als in 2014","Never before has Germany exported as much as in 2014","Never before has Germany exported as much as in 2014",1,"nog nooit exporteren Duitsland zoveel als in 2014","never before have Germany export as much as in 2014","never before have Germany export as much as in 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,36311,"Varoufakis: koste wat het kost schuld aflossen","Varoufakis: at all costs pay off debt","Varoufakis: repay debt at any cost",0,"Varoufakis : ko wat het kost schuld aflos","Varoufakis : at all cost pay off debt","Varoufakis : repay debt at any cost",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
"26",26,40877,"Is rentestijging een raadsel?","Is interest rate rise a riddle?","Is rising interest rates a mystery?",0,"zijn rentestijging een raadsel ?","be interest rate rise a riddle ?","be rise interest rate a mystery ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"27",27,41249,"IMF verwacht herstel Russische economie","IMF expects recovery Russian economy","IMF expects Russian economy to recover",1,"IMF verwenken herstel Russisch economie","Imf expect recovery russian economy","Imf expect russian economy to recover",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,42729,"Belastingplan: btw gaat op veel producten naar 21 procent","Tax plan: VAT goes to 21 percent on many products","Tax plan: VAT goes to 21 percent on many products",0,"Belastingplan : btw gaan op veel product naar 21 procent","tax plan : Vat go to 21 percent on many product","tax plan : Vat go to 21 percent on many product",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"29",29,43589,"Live - Merkel: Grieken mogen hun eigen keuze maken","Live - Merkel: Greeks may make their own choice","Live - Brandel: Greeks can make their own choice",0,"live - Merkel : Grieken mogen hun eigen keuze maken","Live - Merkel : Greek may make they own choice","Live - Brandel : Greeks can make they own choice",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0
"30",30,148571717,"Help! De prijzen dalen!; Staat van de Nederlandse economie Bestendige groei, hoge werkloosheid en deflatie","Help! The prices are falling !; State of the Dutch economy Steady growth, high unemployment and deflation","Help! Prices are falling; State of the Dutch economy Sustained growth, high unemployment and deflation",-1,"Help ! de prijs dalen ! ; Staat van de Nederlands economie bestendig groei , hoog werkloosheid en deflatie","help ! the price be fall ! ; State of the Dutch economy steady growth , high unemployment and deflation","help ! price be fall ; state of the Dutch economy Sustain growth , high unemployment and deflation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,1,1,0,1,0,2,0,2,2,2,1,2,0,0,0,0,0,0,0,0
"31",31,148571718,"Er zit vaart in de economie","There is speed in the economy","The economy is gaining momentum",1,"er zien vaart in de economie","there be speed in the economy","the economy be gain momentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",32,148571724,"CBS Economie is met 0,5 procent gegroeid","CBS Economy has grown by 0.5 percent","CBS Economy has grown by 0.5 percent",1,"CBS economie zijn met 0,5 procent gegroeid","CBS economy have grow by 0.5 percent","CBS economy have grow by 0.5 percent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",33,150280829,"Huizenkoper grijpt kans; Hypotheekrente nooit zo laag","House buyer seizes opportunity; Mortgage rates never so low","Home buyer seizes opportunity; Mortgage interest never so low",1,"Huizenkoper grijpt kans ; Hypotheekrente nooit zo laag","House buyer seize opportunity ; Mortgage rates never so low","home buyer seizes opportunity ; Mortgage interest never so low",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,1,1,1,2,3,1,0,0,0,0,0,0,0,0
"34",34,150281029,"Cijfer van de week","Figure of the week","Number of the week",0,"Cijfer van de week","figure of the week","number of the week",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",35,150281053,"Hypotheken weer hot; Investeerders keren terug via nieuwe aanbieders","Mortgages again hot; Investors return via new providers","Mortgages hot again; Investors return via new providers",1,"Hypotheken weer hten ; Investeerders keren terug via nieuw aanbieder","Mortgage again hot ; investor return via new providr","Mortgage hot again ; investor return via new providr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"36",36,150281163,"Overdracht in mkb sneuvelt voor finish","Transfer in SMEs will die before the finish","Transfer in SMEs dies before finish",-1,"Overdracht in mkb sneuvelen voor finish","transfer in SMEs will die before the finish","transfer in SMEs die before finish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",37,150281620,"Provincie Utrecht aan kop; DFT legt twaalf provincies voor verkiezingen langs de economische meetlat","Province of Utrecht at the top; DFT lays twelve provinces for elections along the economic yardstick","Province of Utrecht in the lead; DFT puts twelve provinces at the economic yardstick for elections",0,"provincie Utrecht aan kop ; DFT leggen twaalf provincie voor verkiezing langs de economisch meetlat","Province of Utrecht at the top ; Dft lay twelve province for election along the economic yardstick","Province of Utrecht in the lead ; DFT put twelve province at the economic yardstick for election",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"38",38,150281726,"Pensioenfonds klem door ECB; Van beursbonanza wordt niet maximaal geprofiteerd, lage rente doet pijn","Pension fund clamp by the ECB; From stock bonanza is not maximized, low interest hurts","Pension fund clampdown by ECB; no maximum benefit from stock exchange bonus, low interest rate hurts",-1,"Pensioenfonds klem door ECB ; van beursbonanza worden niet maximaal profiteren , laag rente doen pijn","Pension fund clamp by the ECB ; from stock bonanza be not maximize , low interest hurt","Pension fund clampdown by ECB ; no maximum benefit from stock exchange bonus , low interest rate hurt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,2,0,1,2,1,1,0,1,1,2,2,3,3,0,0,0,0,0,0,0,0
"39",39,150281956,"Verkoop van huizen daalt","Sale of houses is falling","House sales are falling",-1,"verkoop van huis dalen","sale of house be fall","House sale be fall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"40",40,150282114,"Tien keer Apple","Ten times Apple","Ten times Apple",0,"tien keer Apple","ten time Apple","ten time Apple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",41,150282115,"Melkprijs in vrije val; Laag tarief voor melkveehouders begint zich te wreken","Milk price in free fall; Low rate for dairy farmers begins to avenge themselves","Milk price in free fall; Low rate for dairy farmers starts to avenge itself",-1,"Melkprijs in vrij val ; laag tarief voor melkveehouder beginnen zich te wreken","milk price in free fall ; low rate for dairy farmer begin to avenge themselves","milk price in free fall ; low rate for dairy farmer start to avenge itself",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,2,1,1,1,1,1,3,1,3,0,0,0,0,0,0,0,0
"42",42,150282116,"Zweedse rente onder nulpunt","Swedish interest below zero","Swedish zero interest rate",0,"Zweeds rente onder nulpunt","swedish interest below zero","swedish zero interest rate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"43",43,150282117,"Tik voor begroting door lage inflatie; Daling gasprijs is extra tegenvaller overheid","Tap budget for low inflation; Falling gas price is extra disappointing government","Tik voor begroting door lage inflatie; Daling gasprijs is extra tegenvaller overheid",-1,"Tik voor begroting door laag inflatie ; Daling gasprijs zijn extra tegenvaller overheid","tap budget for low inflation ; fall gas price be extra disappointing government","Tik voor begrot door lage inflatie ; Daling gasprij be extra tegenvaller overheid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0
"44",44,150282118,"Glas op Wall Street halfvol","Glass on Wall Street half full","Glas op Wall Street halfvol",1,"glas op Wall Street halfvol","Glass on Wall Street half full","Glas op Wall Street halfvol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,150282124,"Opleving huizenmarkt zet ook door in 2015","The housing market also continues in 2015","Completion of the housing market continues in 2015",1,"Opleving huizenmarkt zetten ook door in 2015","the housing market also continue in 2015","completion of the housing market continue in 2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"46",46,150282126,"Banen weg door inzet postscooter","Jobs away by deploying a postscooter","Jobs away by inserting postscooter",-1,"Banen weg door inzet postscooter","Jobs away by deploy a postscooter","Jobs away by inserting postscooter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",47,150282229,"Onderzoek rentebeleid banken","Investigate interest rate policies banks","Research interest policy banks",0,"onderzoek rentebeleid banken","investigate interest rate policy bank","research interest policy bank",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"48",48,150282410,"Nerd in de lift, manager buitenspel","Nerd in the elevator, manager offside","Nerd in the elevator, manager offside",0,"Neren in de lift , manag buitenspel","nerd in the elevator , manager offside","nerd in the elevator , manager offside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",49,150282475,"Geld. Goedkope benzine leidt tot extreem lage inflatie begin dit jaar","Money. Cheap gasoline leads to extremely low inflation early this year","Money. Cheap petrol leads to extremely low inflation early this year",1,"geld . goedkoop benzine leiden tot extreem laag inflatie begin dit jaar","money . cheap gasoline lead to extremely low inflation early this year","money . cheap petrol lead to extremely low inflation early this year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,3,1,3,0,0,0,1,0,0,0,1
"50",50,150284544,"Minder woningen onder water","Less homes under water","Fewer houses under water",1,"weinig woningen onder water","less home under water","fewer house under water",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"51",51,150284790,"Werkloosheid iets gedaald in eurozone","Unemployment slightly declined in the eurozone","Unemployment slightly down in eurozone",1,"werkloosheid iets dalen in eurozone","Unemployment slightly decline in the eurozone","Unemployment slightly down in eurozone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"52",52,150285229,"Dijsselbloem maakt voortgang met Grieken","Dijsselbloem is making progress with Greeks","Dijsselbloem makes progress with Greeks",1,"Dijsselbloem maken voortgang met Grieken","thDijsselbloey be make progress with Greeks","thDijsselbloey make progress with Greeks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,0,0
