id,headline,google,deepl,dutch_lemmas,google_lemmas,deepl_lemmas
150285229,Dijsselbloem maakt voortgang met Grieken,Dijsselbloem is making progress with Greeks,Dijsselbloem makes progress with Greeks,Dijsselbloem maken voortgang met Grieken,thDijsselbloey be make progress with Greeks,thDijsselbloey make progress with Greeks
150285231,Inflatie in Nederland gezakt naar nulpunt,Inflation down to zero in the Netherlands,Inflation in the Netherlands has fallen to zero,Inflatie in Nederland zken naar nulpunt,inflation down to zero in the Netherlands,inflation in the Netherlands have fall to zero
150285232,Webwinkel Zalando boekt eerste winst,Webshop Zalando makes the first profit,Webshop Zalando makes first profit,Webwinkel Zalando boken één winst,Webshop Zalando make the first profit,Webshop Zalando make first profit
150285254,IEA voorziet mogelijk herstel van olieprijs,IEA provides for possible oil price recovery,IEA foresees possible recovery of oil price,Iea voorziet mogelijk herstel van olieprijs,IEA provide for possible oil price recovery,IEA foresee possible recovery of oil price
150285303,Opeens is er groei in heel Europa,Suddenly there is growth all over Europe,Suddenly there is growth across Europe,opeens zijn er groei in heel Europa,suddenly there be growth all over Europe,suddenly there be growth across Europe
150285706,Werkgelegenheid EU is verbeterd,Employment EU has improved,EU employment has improved,werkgelegenheid Eu zijn verbeteren,employment EU have improve,EU employment have improve
150285949,Vergrijzing remt huizenprijzen,Aging inhibits house prices,Ageing inhibits house prices,Vergrijzing rmen huizenprijzen,A inhibit 's house price,Age inhibit 's house price
150285997,`Klein bedrijf meest gebaat bij akkoord met VS,`Small business benefits most from agreement with the US,`Small business benefits most from agreement with the US,`Klein bedrijf veel baten bij akkoord met VS,` small business benefit most from agreement with the US,` small business benefit most from agreement with the US
150286193,Breng gevaren fondsen in kaart,Map dangers funds,Map dangers funds,Breng gevaren fonds in kaart,map danger fund,map danger fund
150286207,Een zomers scenario,A summer scenario,Een zomers scenario,een zomer scenario,a summer scenario,Een zomer scenario
150286325,Ziek van vrijhandel,Ill of free trade,Ill from free trade,ziek van vrijhandel,Ill of free trade,Ill from free trade
150286328,Zwakke start beursjaar,Weak start of the stock market year,Weak start of the exhibition year,Zwakk start beursjaar,weak start of the stock market year,weak start of the exhibition year
150286710,Bronzen pensioenstelsel maakt Nederland gevaarlijk illiquide,Bronze pension system makes the Netherlands dangerously illiquid,Bronze pension system makes the Netherlands dangerously illiquid,bronzen pensioenstelsel maken Nederland gevaarlijk illiquien,bronze pension system make the Netherlands dangerously illiquid,bronze pension system make the Netherlands dangerously illiquid
150286729,Noodlijdend Oekraine hoopt op IMF-noodkrediet,Distressed Ukraine hopes for IMF emergency credit,Urgent Ukraine hopes for IMF emergency credit,Noodlijdend Oekraine hopen op IMF-noodkrediet,Distress Ukraine hope for Imf emergency credit,urgent Ukraine hope for IMF emergency credit
150286991,Huizenverkopen VS gedaald,US home sales dropped,US house sales down,Huizenverkoop VS dalen,US home sale drop,US house sale down
150287149,Commerzbank voorziet nieuwe tegenslagen,Commerzbank anticipates new setbacks,Commerzbank anticipates new setbacks,Commerzbank voorzien nieuw tegenslag,Commerzbank anticipate new setback,Commerzbank anticipate new setback
150287150,Lening tegen laagste rente ooit,Loan at lowest interest ever,Loan at lowest interest rate ever,lening tegen laag rente ooit,loan at lowest interest ever,loan at lowest interest rate ever
150287152,Snelle daling van inflatie goed voor de koopkracht,Rapid decline in inflation good for purchasing power,Rapid decline in inflation good for purchasing power,snel daling van inflatie goed voor de koopkracht,rapid decline in inflation good for purchase power,rapid decline in inflation good for purchase power
150287153,Webwinkelgigant Zalando maakt voor het eerst sinds bestaan winst,Web store giant Zalando is making a profit for the first time since its existence,Web store giant Zalando makes profit for the first time in existence,Webwinkelgigant Zalando maken voor het één sinds bestaan winst,web store giant Zalando be make a profit for the first time since its existence,web store gian Zalando make profit for the first time in existence
150287154,Zweedse centrale bank stapt over op negatieve rente,The Swedish central bank switches to negative interest rates,Swedish central bank switches to negative interest rate,Zweeds centraal bank stappen over op negatief rente,the swedish central bank switch to negativing interest rate,swedish central bank switch to negativing interest rate
150287155,State of the market,State of the market,State of the market,State of the market,State of the market,State of the market
150287158,Minder gas winnen hoeft geen geld te kosten,Winning less gas does not have to cost money,Winning less gas does not have to cost money,weinig gas winnen hobben geen geld te kosten,win less gas do not have to cost money,win less gas do not have to cost money
150287160,`Britse inflatie zal verder dalen,British inflation will continue to fall,British inflation will continue to fall,`Brits inflatie zullen verder dalen,british inflation will continue to fall,british inflation will continue to fall
150287733,FNV pleit voor crisispakket pensioenfondsen,FNV argues for crisis package pension funds,FNV advocates crisis package for pension funds,Fnv pleiten voor crisispakket pensioenfonds,haFnve argue for crisis package pension fund,haFnve advocate crisis package for pension fund
150289181,EU-miljardenfonds creeert 34.000 banen in Nederland,"EU billion fund creates 34,000 jobs in the Netherlands","EU billion fund creates 34,000 jobs in the Netherlands",EU-miljardenfonds creeren 34.000 ban in Nederland,"EU billion fund create 34,000 job in the Netherlands","EU billion fund create 34,000 job in the Netherlands"
150289763,Geld rolt weer,Money rolls again,Money rolls again,geld rolen weer,money roll again,money roll again
150290047,Griekenland met blufpoker op weg naar de verlenging,Greece with bluff poker on the way to the extension,Greece with blufpoker on its way to the extension,Griekenland met blufpoker op weg naar de verlenging,Greece with bluff poker on the way to the extension,Greece with blufpoker on its way to the extension
150290282,Cijfers uit VS drukken sentiment op beurzen,Figures from the US express sentiment at trade fairs,US figures print sentiment on stock exchanges,Cijfer uit VS drukken sentiment op beurs,figure from the US express sentiment at trade fair,US figure print sentiment on stock exchange
150290740,ECB geeft Grieken lucht,ECB gives Greeks air,ECB gives Greece air,ECB geven Grieken lucht,ECB give Greeks air,ECB give Greece air
150290814,Rechtsbijstand moet zuiniger,Legal aid must be more economical,Legal aid should be more economical,Rechtsbijstand moeten zuinig,legal aid must be more economical,legal aid should be more economical
150290877,"Voorstel komt te snel, eerst even uitblazen","Proposal comes too quickly, first blow out","Proposal comes too fast, first blow out a little","voorstel komen te snel , eerst even uitblazen","proposal come too quickly , first blow out","proposal come too fast , first blow out a little"
150291001,Banken lonken naar - sommige - zzpers,Banks beckon to - some - self-employed people,Banks beckon at - some - zzpers,Bank lonken naar - sommig - zzper,bank beckon to - some - self - employ people,bank beckon at - some - zzper
150291466,Burger is wakker: TTIP komt eraan,Burger is awake: TTIP is coming,Burger is awake: TTIP is coming,burger zijn wakk : TTIP komen eraan,Burger be awake : Ttip be come,Burger be awake : Ttip be come
150291742,Jongeren boos om oneerlijk laag minimumloon,Young people angry at unfair low minimum wage,Young people angry at unfair low minimum wage,jong boos om oneerlijk laag minimumloon,young people angry at unfair low minimum wage,young people angry at unfair low minimum wage
150291782,In een dag 300 mln. aan spaargeld weg,In one day 300 million worth of savings,300 million in savings in one day away,in een dag 300 mln . aan spaargeld weg,in one day 300 million worth of savings,300 million in savings in one day away
150291802,Kans op tijdige oplossing Griekse crisis minimaal,Opportunity for a timely solution Greek crisis minimal,Chance of timely resolution of Greek crisis minimal,kans op tijdig oplossing Grieks crisis minimaal,opportunity for a timely solution greek crisis minimal,chance of timely resolution of greek crisis minimal
150292190,G20-top in teken van Grexit en dreigende valuta-oorlog,G20 summit in sign of Grexit and threatening currency war,G20 summit in the sign of Grexit and imminent currency war,G20-top in teken van Grexit en dreigen valuta-oorlog,G20 summit in sign of Grexit and threaten currency war,G20 summit in the sign of Grexit and imminent currency war
150292612,Asscher: Wet flexwerk niet na paar incidenten aanpassen,Asscher: Do not adjust flex work after a few incidents,Asscher: Act flexwork not after few incidents adjust,Asscher : wet flexwerk niet na paar incident aanpassen,Asscher : do not adjust flex work after a few incidents,Asscher : act flexwork not after few incidents adjust
150292974,Triodos wil sterker inzetten op hypotheken,Triodos wants to bet stronger on mortgages,Triodos wants to focus more on mortgages,Triodos willen sterk inzet op hypothek,Triodos want to bet stronger on mortgage,Triodos want to focus more on mortgage
163416476,WW teruggeschroefd,WW scaled back,WW scaled down,Ww teruggeschroefd,WW scal back,WW scal down
163464790,Geen lagere belastingen maar banen,No lower taxes but jobs,No lower taxes but jobs,geen laag belasting maar ban,no lower tax but job,no lower tax but job
163500076,Hypotheekaanvragen stijgen explosief door aantrekkende woningmarkt,Mortgage applications are rising explosively due to the attractive housing market,Mortgage applications rise explosively due to the recovery of the housing market,Hypotheekaanvrag stijgen explosief door aantrekken woningmarken,Mortgage applications be rise explosively due to the attractive housing market,Mortgage applications rise explosively due to the recovery of the housing market
164107322,"V&D : geen loonoffer, wel 400 ontslagen","V &D: no salary sacrifice, 400 dismissals","V&D : no wage sacrifice, but 400 redundancies","V&D : geen loonoffer , wel 400 ontslag","have & : no salary sacrifice , 400 dismissal","V&d : no wage sacrifice , but 400 redundancy"
164107571,Het gevecht voor 15 dollar per uur,The fight for 15 dollars per hour,Het gevecht voor 15 dollar per uur,het vechten voor 15 dollar per uur,the fight for 15 dollar per hour,Het gevecht voor 15 dollar per uur
164107572,"V&D schrapt 400 banen, lonen hoeven niet omlaag","V &D scrapes 400 jobs, wages do not have to go down","V&D deletes 400 jobs, wages do not have to be reduced","V&D schrappen 400 ban , lonen hoijven niet omlaag","have &D scrape 400 job , wage do not have to go down","V&d delete 400 job , wage do not have to be reduce"
164107832,Huurstijging bepaald door kwaliteit woning,Rental increase determined by quality property,Rent increase determined by the quality of the home,Huurstijging bepalen door kwaliteit woning,rental increase determine by quality property,rent increase determine by the quality of the home
18231,Hulpprogramma Griekenland wordt niet verlengd,The Greece aid program is not being extended,The aid programme for Greece will not be extended,Hulpprogramma Griekenland worden niet verlengen,the Greece aid program be not be extend,the aid programme for Greece will not be extend
150282119,Moeders werken dankzij de omas; Ouders creatief in omzeilen dure kinderopvang,Mothers work thanks to the grandmothers; Parents get creative in bypassing expensive childcare,Mothers work thanks to the omas; Parents creative in bypassing expensive childcare,Moeder werken dankzij de omas ; ouder creatief in omzeil dur kinderopvang,mothers work thanks to the grandmother ; Parents get creative in bypass expensive childcare,mothers work thanks to the oma ; Parents creative in bypass expensive childcare
34831,Knot vindt geldpers aanzetten paardenmiddel voor half procent i,Knot thinks the money press is starting equine substance for half percent i,Knot finds cash press turn on horse medicine for half percent i,Knot vinden geldper aanzetten paardenmiddel voor half procent us,Knot think the money press be start equine substance for half percent I,Knot find cash press turn on horse medicine for half percent I
148572031,UWV blokkeert ontslag van 158 man bij Heijmans,UWV blocks the dismissal of 158 employees at Heijmans,UWV blocks dismissal of 158 people at Heijmans,UWV blokkeren ontslag van 158 man bij Heijmans,UWV block the dismissal of 158 employee at Heijmans,haUwve block dismissal of 158 people at Heijmans
148572094,De secretaresse heet nu management assistant,The secretary is now called management assistant,The secretary is now called a management assistant.,de secretaresse heten nu management assistant,the secretary be now call management assistant,the secretary be now call a management assistant .
150281308,Griekenland betaalt IMF,Greece pays IMF,Greece pays IMF,Griekenland betalen IMF,Greece pay IMF,Greece pay IMF
150281905,Bol.com haalt V,Bol.com makes V,Bol.com gets V,Bol.com halen v,Bol.com make V,Bol.com get V
150284144,Vaste baan is niet langer de norm,Permanent employment is no longer the norm,Fixed track is no longer the norm,vast baan zijn niet lang de norm,permanent employment be no longer the norm,fix track be no longer the norm
150285296,Oppositie wilde ook `mes in veiligheid,Opposition also wanted a knife in safety,Opposition also wanted knife in safety,oppositie willen ook `me in veiligheid,opposition also want a knife in safety,opposition also want knife in safety
150285763,Groei- en banencijfers zetten druk op onderhandelingen met Grieken,Growth and job figures put pressure on negotiations with Greeks,Growth and employment figures put pressure on negotiations with Greeks,Groei- en banencijfer zetten druk op onderhandeling met Grieken,growth and job figure put pressure on negotiation with Greeks,growth and employment figure put pressure on negotiation with Greeks
150285942,Brussel ligt dwars bij nieuw instituut voor hypotheken,Brussels is at odds with a new institute for mortgages,Brussels is bordering on new institute for mortgages,Brussel liggen dwars bij nieuw instituut voor hypothek,Brussels be at odd with a new institute for mortgage,Brussels be border on new institute for mortgage
150286406,"Het lukt de AEX maar niet door de 500 puntengrens te breken +7,2% -9,3%",The AEX succeeds but cannot break through the 500 point limit + 7.2% -9.3%,"The AEX succeeds, but not by breaking the 500 point limit +7.2% -9.3%.","het lukken de AEX maar niet door de 500 puntengrens te breken +7,2% -9,3%",the AEX succeed but can not break through the 500 point limit + 7.2 % - 9.3 %,"the AEX succeed , but not by break the 500 point limit +7.2 % - 9.3 % ."
150286851,"`Noors model vertoont barstjes; Terwijl Nederland de aardgasbaten verjubelde, stopten de Noren de inkomsten uit olie in een speciaal fonds. Moeten `wij dat voorbeeld alsnog volgen?","`Norwegian model shows cracks; While the Netherlands cheered the natural gas revenues, the Norwegians put the income from oil into a special fund. Should `we still follow that example?","The Norwegian model shows cracks; while the Netherlands rejoiced in the natural gas revenues, the Norwegians put the income from oil into a special fund. Should we follow that example?","`Noors model vertonen barst ; terwijl Nederland de aardgasbaat verjublen , stoppen de Noren de inkomsten uit olie in een speciaal fond . moeten `wij dat voorbeeld alsnog volgen ?","` norwegian model show crack ; while the Netherlands cheer the natural gas revenue , the Norwegians put the income from oil into a special fund . should ` we still follow that example ?","the norwegian model show crack ; while the Netherlands rejoice in the natural gas revenue , the Norwegians put the income from oil into a special fund . should we follow that example ?"
150290165,Rabo moet Bruggink terugfluiten,Rabo has to whistle Bruggink back,Rabo must whistle Bruggink back,Rabo moeten Bruggink terugfluiten,Rabo have to whistle Bruggink back,Rabo must whistle Bruggink back
150290224,Loon investeren in je baan; Dit kan enorm veel positieve energie geven,Investing wages in your job; This can give a lot of positive energynvesting wages in your job; This can gvesting wa,Investing wages in your job; This can give you a lot of positive energy.,Loon investeren in je baan ; dit kunnen enorm veel positief energie geven,Invest wage in you job ; this can give a lot of positive energynvesting wage in you job ; this can gvest wa,Invest wage in you job ; this can give you a lot of positive energy .
150292226,D66 houdt dit kabinet in het zadel,D66 keeps this cabinet in the saddle,D66 keeps this cabinet in the saddle.,D66 houden dit kabinet in het zadel,D66 keep this cabinet in the saddle,D66 keep this cabinet in the saddle .
150292328,Europa krijgt zijn prestigieuze investeringsfonds,Europe gets its prestigious investment fund,Europe gets its prestigious investment fund,Europa krijgen zijn prestigieus investeringsfond,Europe get its prestigiious investment fund,Europe get its prestigiious investment fund
150761781,Obligatie van ver populair; Beleggers te negatief over opkomend schuldpapier,Bond by far popular; Investors too negative about emerging debt paper,Bond from far popular; Investors too negative about emerging debt.,Obligatie van ver populair ; Belegger te negateffen over opkomen schuldpapier,bond by far popular ; investor too negative about emerge debt paper,bond from far popular ; investor too negative about emerge debt .
10273,Dijsselbloem wil met Griekenland naar oplossing zoeken,Dijsselbloem wants to find a solution with Greece,Dijsselbloem wants to find a solution with Greece,Dijsselbloem willen met Griekenland naar oplossing zoeken,Dijsselbloem want to find a solution with Greece,Dijsselbloem want to find a solution with Greece
10881,Dijsselbloem: niet extra bezuinigen,Dijsselbloem: no extra cuts,Dijsselbloem: dont cut back extra,Dijsselbloem : niet extra bezuinigen,Dijsselbloem : no extra cut,Dijsselbloem : do not cut back extra
13997,Rechter draait loonsverlaging thuiszorgbedrijf terug,Judge reverses wage reduction home care company,Judge reverses pay cut home care company,rechter draait loonsverlaging thuiszorgbedrijf terug,judge reverse wage reduction home care company,judge reverse pay cut home care company
16609,"Wankel herstel van wereldeconomie, zegt het IMF","A shaky recovery in the global economy, says the IMF","Wavering global economic recovery, says the IMF","Wankel herstel van wereldeconomie , zeggen het IMF","a shaky recovery in the global economy , say the IMF","Waver global economic recovery , say the IMF"
18167,"Grieken op hun 57ste met pensioen, en wij maar werken. Of nie","Greeks retired at age 57, and we just work. Or not","Greeks retired when they were 57, and we work. Or not","Grieken op hun 57 met pensioen , en wij maar werken . Of nie","Greek retire at age 57 , and we just work . or not","Greeks retireed when they be 57 , and we work . or not"
18267,LIVE:  Laatste bod  alweer afgewezen - Grieken overwegen jur,LIVE:  Last bid  rejected again - Greeks consider jur,LIVE: Last bid again rejected - Greeks consider jury,live : laat bod alweer afgewezen - Grieken overwegen jur,Live : last bid reject again - Greeks consider jur,Live : last bid again reject - Greeks consider jury
18463,Nieuwe maatregelen in China na vrije val beurs,New measures in China after free fall stock market,New measures in China after free fall stock market,nieuw maatregel in China na vrij val beurs,new measure in China after free fall stock market,new measure in China after free fall stock market
