ID;icr;Codeur;V8;Length;Source;outlet;DFT;Pagina;date;Day_in_2015;Economisch;Context;Toon_Kop;Posit_Nega;Hoofd_OW;CAP_onderw;Locatie;Locatie_TEXT;Onzekerhei;headline
10557;1;6;8/17/2016 9:32:37;161;2;24; ; ;2/20/2015 15:16:46;51;0; ; ; ; ; ; ; ; ;Vrouw gewond bij aanval met zuur bij Delhaize Antwerpen
10557;1;9;8/19/2016 9:38:56;161;2;24; ; ;2/20/2015 15:16:46;51;0; ; ; ; ; ; ; ; ;Vrouw gewond bij aanval met zuur bij Delhaize Antwerpen
10557;1;21;8/29/2016 12:13:09;161;2;24; ; ;2/20/2015 15:16:46;51;0; ; ; ; ; ; ; ; ;Vrouw gewond bij aanval met zuur bij Delhaize Antwerpen
10715;1;6;8/22/2016 10:04:39;368;2;24; ; ;2/26/2015 15:54:59;57;0; ; ; ; ; ; ; ; ;Tweede Kamer akkoord met aankoop acht JSF's
10715;1;9;8/19/2016 14:17:55;368;2;24; ; ;2/26/2015 15:54:59;57;0; ; ; ; ; ; ; ; ;Tweede Kamer akkoord met aankoop acht JSF's
10715;1;21;8/29/2016 14:49:52;368;2;24; ; ;2/26/2015 15:54:59;57;0; ; ; ; ; ; ; ; ;Tweede Kamer akkoord met aankoop acht JSF's
10787;1;6;8/16/2016 9:14:41;134;2;24; ; ;3/1/2015 2:32:53;60;0; ; ; ; ; ; ; ; ;Nederlander vast in VS voor stalking
10787;1;9;8/17/2016 17:03:03;134;2;24; ; ;3/1/2015 2:32:53;60;0; ; ; ; ; ; ; ; ;Nederlander vast in VS voor stalking
10787;1;21;8/23/2016 17:54:11;134;2;24; ; ;3/1/2015 2:32:53;60;0; ; ; ; ; ; ; ; ;Nederlander vast in VS voor stalking
11023;1;6;8/30/2016 10:20:22;385;2;24; ; ;3/10/2015 7:01:53;69;0; ; ; ; ; ; ; ; ;Waarom sloot justitie een deal met Cees H.?
11023;1;9;8/21/2016 20:09:22;385;2;24; ; ;3/10/2015 7:01:53;69;0; ; ; ; ; ; ; ; ;Waarom sloot justitie een deal met Cees H.?
11023;1;21;8/31/2016 12:16:46;385;2;24; ; ;3/10/2015 7:01:53;69;0; ; ; ; ; ; ; ; ;Waarom sloot justitie een deal met Cees H.?
11031;1;6;8/30/2016 11:02:16;246;2;24; ; ;3/10/2015 10:29:55;69;0; ; ; ; ; ; ; ; ;'Eco-terroristen' dreigen babymelkpoeder te vergiftigen
11031;1;9;8/21/2016 22:09:01;246;2;24; ; ;3/10/2015 10:29:55;69;0; ; ; ; ; ; ; ; ;'Eco-terroristen' dreigen babymelkpoeder te vergiftigen
11031;1;21;8/31/2016 13:08:53;246;2;24; ; ;3/10/2015 10:29:55;69;0; ; ; ; ; ; ; ; ;'Eco-terroristen' dreigen babymelkpoeder te vergiftigen
11125;1;6;8/22/2016 9:31:19;135;2;24; ; ;3/12/2015 18:22:40;71;0; ; ; ; ; ; ; ; ;Mansveld: geen KLM-banen naar Parijs
11125;1;9;8/19/2016 12:42:10;135;2;24; ; ;3/12/2015 18:22:40;71;0; ; ; ; ; ; ; ; ;Mansveld: geen KLM-banen naar Parijs
11125;1;21;8/29/2016 13:53:48;135;2;24; ; ;3/12/2015 18:22:40;71;0; ; ; ; ; ; ; ; ;Mansveld: geen KLM-banen naar Parijs
11141;1;6;8/29/2016 11:50:34;206;2;24; ; ;3/13/2015 9:56:13;72;0; ; ; ; ; ; ; ; ;Kamp: opvolging Opstelten is aan Rutte
11141;1;9;8/20/2016 12:08:27;206;2;24; ; ;3/13/2015 9:56:13;72;0; ; ; ; ; ; ; ; ;Kamp: opvolging Opstelten is aan Rutte
11141;1;21;8/30/2016 22:10:55;206;2;24; ; ;3/13/2015 9:56:13;72;0; ; ; ; ; ; ; ; ;Kamp: opvolging Opstelten is aan Rutte
11189;1;6;8/29/2016 11:41:46;242;2;24; ; ;3/16/2015 11:46:57;75;0; ; ; ; ; ; ; ; ;Eindstreep nadert: Haagse kopstukken in debat
11189;1;9;8/20/2016 11:47:04;242;2;24; ; ;3/16/2015 11:46:57;75;0; ; ; ; ; ; ; ; ;Eindstreep nadert: Haagse kopstukken in debat
11189;1;21;8/30/2016 21:57:39;242;2;24; ; ;3/16/2015 11:46:57;75;0; ; ; ; ; ; ; ; ;Eindstreep nadert: Haagse kopstukken in debat
11191;1;6;8/16/2016 9:29:42;389;2;24; ; ;3/16/2015 12:40:04;75;1;1;4;9;25;96;33; ;0;Aandelenbeurzen zetten koersopmars voort
11191;1;9;8/18/2016 8:25:48;389;2;24; ; ;3/16/2015 12:40:04;75;1;1;4;9;25;96;33; ;0;Aandelenbeurzen zetten koersopmars voort
11191;1;21;8/23/2016 18:21:53;389;2;24; ; ;3/16/2015 12:40:04;75;1;1;4;5;25;96;30; ;0;Aandelenbeurzen zetten koersopmars voort
11205;1;6;8/22/2016 10:05:31;161;2;24; ; ;3/16/2015 16:32:16;75;0; ; ; ; ; ; ; ; ;Banco de Madrid sluit deuren na bankrun
11205;1;9;8/19/2016 14:18:53;161;2;24; ; ;3/16/2015 16:32:16;75;0; ; ; ; ; ; ; ; ;Banco de Madrid sluit deuren na bankrun
11205;1;21;8/29/2016 14:51:02;161;2;24; ; ;3/16/2015 16:32:16;75;0; ; ; ; ; ; ; ; ;Banco de Madrid sluit deuren na bankrun
11483;1;6;8/17/2016 9:28:11;249;2;24; ; ;3/26/2015 6:58:53;85;0; ; ; ; ; ; ; ; ;Aftellen Tourstart Utrecht: nog 100 dagen
11483;1;9;8/19/2016 9:31:17;249;2;24; ; ;3/26/2015 6:58:53;85;0; ; ; ; ; ; ; ; ;Aftellen Tourstart Utrecht: nog 100 dagen
11483;1;21;8/29/2016 11:51:28;249;2;24; ; ;3/26/2015 6:58:53;85;0; ; ; ; ; ; ; ; ;Aftellen Tourstart Utrecht: nog 100 dagen
11495;1;6;8/29/2016 11:44:55;204;2;24; ; ;3/26/2015 13:19:19;85;0; ; ; ; ; ; ; ; ;Oud-staatssecretaris Teeven is weer VVD-Kamerlid
11495;1;9;8/20/2016 11:50:48;204;2;24; ; ;3/26/2015 13:19:19;85;0; ; ; ; ; ; ; ; ;Oud-staatssecretaris Teeven is weer VVD-Kamerlid
11495;1;21;8/30/2016 22:04:34;204;2;24; ; ;3/26/2015 13:19:19;85;0; ; ; ; ; ; ; ; ;Oud-staatssecretaris Teeven is weer VVD-Kamerlid
11657;1;6;8/25/2016 10:26:48;200;2;24; ; ;4/1/2015 4:09:39;91;0; ; ; ; ; ; ; ; ;PvdA wil dat boetes voor slechte hygiëne openbaar worden
11657;1;9;8/19/2016 17:12:18;200;2;24; ; ;4/1/2015 4:09:39;91;0; ; ; ; ; ; ; ; ;PvdA wil dat boetes voor slechte hygiëne openbaar worden
11657;1;21;8/29/2016 22:59:36;200;2;24; ; ;4/1/2015 4:09:39;91;0; ; ; ; ; ; ; ; ;PvdA wil dat boetes voor slechte hygiëne openbaar worden
11745;1;9;8/19/2016 9:29:54;216;2;24; ; ;4/3/2015 13:03:10;93;0; ; ; ; ; ; ; ; ;Cyprus heft laatste restricties op na crisis
11745;1;6;8/17/2016 9:20:11;216;2;24; ; ;4/3/2015 13:03:10;93;1;1;4;9;8;96;47; ;0;Cyprus heft laatste restricties op na crisis
11745;1;21;8/28/2016 21:18:29;216;2;24; ; ;4/3/2015 13:03:10;93;1;1;1;9;2;96;47; ;0;Cyprus heft laatste restricties op na crisis
11787;1;6;8/29/2016 11:28:05;157;2;24; ; ;4/7/2015 9:31:14;97;0; ; ; ; ; ; ; ; ;Zuinige auto's met subsidie gewild over de grens
11787;1;9;8/20/2016 11:38:29;157;2;24; ; ;4/7/2015 9:31:14;97;0; ; ; ; ; ; ; ; ;Zuinige auto's met subsidie gewild over de grens
11787;1;21;8/30/2016 21:19:55;157;2;24; ; ;4/7/2015 9:31:14;97;0; ; ; ; ; ; ; ; ;Zuinige auto's met subsidie gewild over de grens
11843;1;6;8/17/2016 9:35:23;205;2;24; ; ;4/8/2015 14:01:57;98;0; ; ; ; ; ; ; ; ;Nieuwe wet moet klokkenluider beschermen
11843;1;9;8/19/2016 9:43:07;205;2;24; ; ;4/8/2015 14:01:57;98;0; ; ; ; ; ; ; ; ;Nieuwe wet moet klokkenluider beschermen
11843;1;21;8/29/2016 12:16:03;205;2;24; ; ;4/8/2015 14:01:57;98;0; ; ; ; ; ; ; ; ;Nieuwe wet moet klokkenluider beschermen
11891;1;6;8/29/2016 11:53:08;626;2;24; ; ;4/9/2015 14:55:59;99;0; ; ; ; ; ; ; ; ;Vijf vragen over de hack bij TV5 Monde
11891;1;9;8/20/2016 12:12:33;626;2;24; ; ;4/9/2015 14:55:59;99;0; ; ; ; ; ; ; ; ;Vijf vragen over de hack bij TV5 Monde
11891;1;21;8/30/2016 22:14:26;626;2;24; ; ;4/9/2015 14:55:59;99;0; ; ; ; ; ; ; ; ;Vijf vragen over de hack bij TV5 Monde
11915;1;6;8/30/2016 10:35:49;361;2;24; ; ;4/10/2015 6:26:59;100;0; ; ; ; ; ; ; ; ;'Amerikanen hebben weer interesse in zuiderburen'
11915;1;9;8/21/2016 21:42:02;361;2;24; ; ;4/10/2015 6:26:59;100;0; ; ; ; ; ; ; ; ;'Amerikanen hebben weer interesse in zuiderburen'
11915;1;21;8/31/2016 12:44:02;361;2;24; ; ;4/10/2015 6:26:59;100;0; ; ; ; ; ; ; ; ;'Amerikanen hebben weer interesse in zuiderburen'
11933;1;6;8/22/2016 9:35:33;155;2;24; ; ;4/10/2015 18:56:01;100;0; ; ; ; ; ; ; ; ;Opnieuw incident Amerikaanse Secret Service
11933;1;9;8/19/2016 12:43:41;155;2;24; ; ;4/10/2015 18:56:01;100;0; ; ; ; ; ; ; ; ;Opnieuw incident Amerikaanse Secret Service
11933;1;21;8/29/2016 13:55:13;155;2;24; ; ;4/10/2015 18:56:01;100;0; ; ; ; ; ; ; ; ;Opnieuw incident Amerikaanse Secret Service
12123;1;6;8/30/2016 10:23:25;186;2;24; ; ;4/17/2015 15:16:28;107;0; ; ; ; ; ; ; ; ;Tv-presentator door het lint: val eens wat af, popje
12123;1;9;8/21/2016 21:20:40;186;2;24; ; ;4/17/2015 15:16:28;107;0; ; ; ; ; ; ; ; ;Tv-presentator door het lint: val eens wat af, popje
12123;1;21;8/31/2016 12:18:58;186;2;24; ; ;4/17/2015 15:16:28;107;0; ; ; ; ; ; ; ; ;Tv-presentator door het lint: val eens wat af, popje
12183;1;6;8/17/2016 8:53:11;208;2;24; ; ;4/20/2015 11:47:10;110;0; ; ; ; ; ; ; ; ;"""Als ING-top meer krijgt, dan de medewerkers ook"""
12183;1;9;8/18/2016 17:43:17;208;2;24; ; ;4/20/2015 11:47:10;110;0; ; ; ; ; ; ; ; ;"""Als ING-top meer krijgt, dan de medewerkers ook"""
12183;1;21;8/28/2016 19:24:17;208;2;24; ; ;4/20/2015 11:47:10;110;1;1;4;0;20;96;1; ;0;"""Als ING-top meer krijgt, dan de medewerkers ook"""
12363;1;6;8/28/2016 15:33:30;123;2;24; ; ;4/27/2015 6:42:30;117;1;1;0;9;57;96;49; ;0;Deutsche Bank bezuinigt miljarden na megaboete
12363;1;9;8/20/2016 9:40:51;123;2;24; ; ;4/27/2015 6:42:30;117;1;1;0;9;16;96;49; ;0;Deutsche Bank bezuinigt miljarden na megaboete
12363;1;21;8/29/2016 23:37:05;123;2;24; ; ;4/27/2015 6:42:30;117;1;1;0;9;16;96;49; ;0;Deutsche Bank bezuinigt miljarden na megaboete
12367;1;6;8/29/2016 12:09:42;86;2;24; ; ;4/27/2015 11:56:21;117;1;1;4;9;3;96;77; ;0;Spanje rekent op grootste groei in 8 jaar
12367;1;9;8/21/2016 14:20:30;86;2;24; ; ;4/27/2015 11:56:21;117;1;1;4;9;3;96;77; ;0;Spanje rekent op grootste groei in 8 jaar
12367;1;21;8/30/2016 22:50:29;86;2;24; ; ;4/27/2015 11:56:21;117;1;1;4;9;3;96;77; ;0;Spanje rekent op grootste groei in 8 jaar
12379;1;6;8/30/2016 10:25:49;425;2;24; ; ;4/28/2015 9:32:18;118;0; ; ; ; ; ; ; ; ;'Nepal heeft hoge aaibaarheidsfactor'
12379;1;9;8/21/2016 21:26:55;425;2;24; ; ;4/28/2015 9:32:18;118;0; ; ; ; ; ; ; ; ;'Nepal heeft hoge aaibaarheidsfactor'
12379;1;21;8/31/2016 12:29:08;425;2;24; ; ;4/28/2015 9:32:18;118;0; ; ; ; ; ; ; ; ;'Nepal heeft hoge aaibaarheidsfactor'
12501;1;6;8/15/2016 11:47:16;152;2;24; ; ;5/2/2015 13:32:05;122;1;1;0;9;10;112;30; ;0;Van Baalen (VVD) wil Griekenland uit de euro
12501;1;9;8/17/2016 16:28:37;152;2;24; ; ;5/2/2015 13:32:05;122;1;1;0;9;10;112;30; ;0;Van Baalen (VVD) wil Griekenland uit de euro
12501;1;21;8/23/2016 17:22:10;152;2;24; ; ;5/2/2015 13:32:05;122;1;1;1;9;10;112;53; ;0;Van Baalen (VVD) wil Griekenland uit de euro
12681;1;6;8/29/2016 12:19:47;214;2;24; ; ;5/11/2015 16:13:45;131;1;1;0;9;10;96;53; ;0;'EU-ministers nog niet tevreden over Griekenland'
12681;1;9;8/21/2016 14:49:21;214;2;24; ; ;5/11/2015 16:13:45;131;1;1;0;9;10;112;30; ;0;'EU-ministers nog niet tevreden over Griekenland'
12681;1;21;8/31/2016 10:52:22;214;2;24; ; ;5/11/2015 16:13:45;131;1;1;9;9;10;112;53; ;0;'EU-ministers nog niet tevreden over Griekenland'
12787;1;6;8/29/2016 12:05:04;268;2;24; ; ;5/15/2015 17:31:31;135;0; ; ; ; ; ; ; ; ;Het is weer vrede in Burundi, zegt de president
12787;1;9;8/21/2016 14:12:50;268;2;24; ; ;5/15/2015 17:31:31;135;0; ; ; ; ; ; ; ; ;Het is weer vrede in Burundi, zegt de president
12787;1;21;8/30/2016 22:46:28;268;2;24; ; ;5/15/2015 17:31:31;135;0; ; ; ; ; ; ; ; ;Het is weer vrede in Burundi, zegt de president
13081;1;6;8/30/2016 10:01:18;382;2;24; ; ;5/28/2015 6:35:43;148;0; ; ; ; ; ; ; ; ;Twijfels bij FIFA-sponsors na arrestaties
13081;1;9;8/21/2016 17:01:51;382;2;24; ; ;5/28/2015 6:35:43;148;0; ; ; ; ; ; ; ; ;Twijfels bij FIFA-sponsors na arrestaties
13081;1;21;8/31/2016 11:39:12;382;2;24; ; ;5/28/2015 6:35:43;148;0; ; ; ; ; ; ; ; ;Twijfels bij FIFA-sponsors na arrestaties
13105;1;9;8/20/2016 9:17:52;117;2;24; ; ;5/28/2015 20:18:49;148;1;1;0;9;16;96;42; ;0;Bonden bezorgd over flirt tussen Delhaize en Ahold
13105;1;6;8/28/2016 15:24:49;117;2;24; ; ;5/28/2015 20:18:49;148;1;1;3;9;16;96;42; ;0;Bonden bezorgd over flirt tussen Delhaize en Ahold
13105;1;21;8/29/2016 23:08:06;117;2;24; ; ;5/28/2015 20:18:49;148;1;1;9;9;16;96;42; ;0;Bonden bezorgd over flirt tussen Delhaize en Ahold
13125;1;6;8/16/2016 9:27:35;153;2;24; ; ;5/29/2015 13:36:13;149;0; ; ; ; ; ; ; ; ;Kabinet wil positie verzekerden versterken
13125;1;9;8/17/2016 20:28:40;153;2;24; ; ;5/29/2015 13:36:13;149;0; ; ; ; ; ; ; ; ;Kabinet wil positie verzekerden versterken
13125;1;21;8/23/2016 18:19:22;153;2;24; ; ;5/29/2015 13:36:13;149;0; ; ; ; ; ; ; ; ;Kabinet wil positie verzekerden versterken
13247;1;6;8/30/2016 10:28:12;341;2;24; ; ;6/2/2015 13:20:06;153;0; ; ; ; ; ; ; ; ;Rutte wil niets zeggen over topoverleg Griekenland
13247;1;9;8/21/2016 21:32:13;341;2;24; ; ;6/2/2015 13:20:06;153;0; ; ; ; ; ; ; ; ;Rutte wil niets zeggen over topoverleg Griekenland
13247;1;21;8/31/2016 12:38:13;341;2;24; ; ;6/2/2015 13:20:06;153;0; ; ; ; ; ; ; ; ;Rutte wil niets zeggen over topoverleg Griekenland
13333;1;6;8/29/2016 11:56:27;168;2;24; ; ;6/4/2015 18:52:08;155;0; ; ; ; ; ; ; ; ;Brandweer springt onzorgvuldig om met eigen veiligheid
13333;1;9;8/20/2016 12:17:09;168;2;24; ; ;6/4/2015 18:52:08;155;0; ; ; ; ; ; ; ; ;Brandweer springt onzorgvuldig om met eigen veiligheid
13333;1;21;8/30/2016 22:28:13;168;2;24; ; ;6/4/2015 18:52:08;155;0; ; ; ; ; ; ; ; ;Brandweer springt onzorgvuldig om met eigen veiligheid
13337;1;6;8/17/2016 9:18:39;140;2;24; ; ;6/5/2015 1:48:03;156;0; ; ; ; ; ; ; ; ;Nep-orka moet zeeleeuwen verjagen
13337;1;9;8/19/2016 9:16:17;140;2;24; ; ;6/5/2015 1:48:03;156;0; ; ; ; ; ; ; ; ;Nep-orka moet zeeleeuwen verjagen
13337;1;21;8/28/2016 21:16:58;140;2;24; ; ;6/5/2015 1:48:03;156;0; ; ; ; ; ; ; ; ;Nep-orka moet zeeleeuwen verjagen
13725;1;6;8/30/2016 11:33:32;238;2;24; ; ;6/17/2015 9:15:19;168;0; ; ; ; ; ; ; ; ;'Uitbreiding vaderschapsverlof niet meer tijdens dit kabinet'
13725;1;9;8/21/2016 23:17:20;238;2;24; ; ;6/17/2015 9:15:19;168;0; ; ; ; ; ; ; ; ;'Uitbreiding vaderschapsverlof niet meer tijdens dit kabinet'
13725;1;21;8/31/2016 16:57:28;238;2;24; ; ;6/17/2015 9:15:19;168;0; ; ; ; ; ; ; ; ;'Uitbreiding vaderschapsverlof niet meer tijdens dit kabinet'
13739;1;6;8/22/2016 9:55:29;198;2;24; ; ;6/17/2015 11:49:27;168;0; ; ; ; ; ; ; ; ;Toekomst ROC Leiden nog niet duidelijk
13739;1;9;8/19/2016 13:48:18;198;2;24; ; ;6/17/2015 11:49:27;168;0; ; ; ; ; ; ; ; ;Toekomst ROC Leiden nog niet duidelijk
13739;1;21;8/29/2016 14:31:32;198;2;24; ; ;6/17/2015 11:49:27;168;0; ; ; ; ; ; ; ; ;Toekomst ROC Leiden nog niet duidelijk
13905;1;6;8/28/2016 15:13:25;428;2;24; ; ;6/23/2015 4:31:02;174;1;1;9;9;10;96;53; ;0;Als Duitser in Griekenland: begrip voor Merkel én voor Tsipras
13905;1;9;8/19/2016 17:14:24;428;2;24; ; ;6/23/2015 4:31:02;174;0; ; ; ; ; ; ; ; ;Als Duitser in Griekenland: begrip voor Merkel én voor Tsipras
13905;1;21;8/29/2016 23:01:58;428;2;24; ; ;6/23/2015 4:31:02;174;0; ; ; ; ; ; ; ; ;Als Duitser in Griekenland: begrip voor Merkel én voor Tsipras
13959;1;6;8/16/2016 9:43:55;195;2;24; ; ;6/24/2015 13:14:44;175;0; ; ; ; ; ; ; ; ;Diervoederbedrijf De Heus familiebedrijf van het jaar
13959;1;9;8/17/2016 20:40:21;195;2;24; ; ;6/24/2015 13:14:44;175;0; ; ; ; ; ; ; ; ;Diervoederbedrijf De Heus familiebedrijf van het jaar
13959;1;21;8/28/2016 17:40:27;195;2;24; ; ;6/24/2015 13:14:44;175;0; ; ; ; ; ; ; ; ;Diervoederbedrijf De Heus familiebedrijf van het jaar
14111;1;6;8/16/2016 10:49:50;278;2;24; ; ;6/29/2015 13:42:29;180;0; ; ; ; ; ; ; ; ;Heldhaftig optreden Tunesische burgers in Sousse
14111;1;9;8/18/2016 10:38:57;278;2;24; ; ;6/29/2015 13:42:29;180;0; ; ; ; ; ; ; ; ;Heldhaftig optreden Tunesische burgers in Sousse
14111;1;21;8/28/2016 18:25:14;278;2;24; ; ;6/29/2015 13:42:29;180;0; ; ; ; ; ; ; ; ;Heldhaftig optreden Tunesische burgers in Sousse
14149;1;6;8/15/2016 11:52:46;191;2;24; ; ;6/30/2015 9:28:20;181;0; ; ; ; ; ; ; ; ;Opnieuw files door actie in haven van Calais
14149;1;9;8/17/2016 16:48:36;191;2;24; ; ;6/30/2015 9:28:20;181;0; ; ; ; ; ; ; ; ;Opnieuw files door actie in haven van Calais
14149;1;21;8/23/2016 17:40:17;191;2;24; ; ;6/30/2015 9:28:20;181;0; ; ; ; ; ; ; ; ;Opnieuw files door actie in haven van Calais
14249;1;6;8/16/2016 9:45:20;143;2;24; ; ;7/3/2015 7:08:40;184;0; ; ; ; ; ; ; ; ;'Wehkamp voor 450 miljoen in Britse handen'
14249;1;9;8/17/2016 20:43:31;143;2;24; ; ;7/3/2015 7:08:40;184;0; ; ; ; ; ; ; ; ;'Wehkamp voor 450 miljoen in Britse handen'
14249;1;21;8/28/2016 17:42:47;143;2;24; ; ;7/3/2015 7:08:40;184;0; ; ; ; ; ; ; ; ;'Wehkamp voor 450 miljoen in Britse handen'
14595;1;6;8/16/2016 9:17:58;85;2;24; ; ;7/13/2015 23:33:23;194;0; ; ; ; ; ; ; ; ;Blueslegende B.B. King is niet vergiftigd
14595;1;9;8/17/2016 18:19:16;85;2;24; ; ;7/13/2015 23:33:23;194;0; ; ; ; ; ; ; ; ;Blueslegende B.B. King is niet vergiftigd
14595;1;21;8/23/2016 17:57:13;85;2;24; ; ;7/13/2015 23:33:23;194;0; ; ; ; ; ; ; ; ;Blueslegende B.B. King is niet vergiftigd
14635;1;6;8/22/2016 9:36:47;263;2;24; ; ;7/14/2015 19:58:19;195;0; ; ; ; ; ; ; ; ;Koenders: atoomakkoord met Iran snel uitvoeren
14635;1;9;8/19/2016 12:46:18;263;2;24; ; ;7/14/2015 19:58:19;195;0; ; ; ; ; ; ; ; ;Koenders: atoomakkoord met Iran snel uitvoeren
14635;1;21;8/29/2016 13:57:05;263;2;24; ; ;7/14/2015 19:58:19;195;0; ; ; ; ; ; ; ; ;Koenders: atoomakkoord met Iran snel uitvoeren
14785;1;6;8/17/2016 8:11:05;229;2;24; ; ;7/21/2015 6:28:06;202;0; ; ; ; ; ; ; ; ;Meer omzet en minder winst voor TomTom
14785;1;9;8/18/2016 13:56:37;229;2;24; ; ;7/21/2015 6:28:06;202;1;1;2;9;49;118;33; ;0;Meer omzet en minder winst voor TomTom
14785;1;21;8/28/2016 19:04:34;229;2;24; ; ;7/21/2015 6:28:06;202;0; ; ; ; ; ; ; ; ;Meer omzet en minder winst voor TomTom
14991;1;6;8/30/2016 10:24:28;187;2;24; ; ;7/31/2015 13:41:56;212;0; ; ; ; ; ; ; ; ;Filmproducent Relativity failliet
14991;1;9;8/21/2016 21:23:10;187;2;24; ; ;7/31/2015 13:41:56;212;0; ; ; ; ; ; ; ; ;Filmproducent Relativity failliet
14991;1;21;8/31/2016 12:20:16;187;2;24; ; ;7/31/2015 13:41:56;212;1;1;0;9;58;124;81; ;0;Filmproducent Relativity failliet
15037;1;6;8/29/2016 11:27:25;259;2;26; ; ;2/3/2015 8:52:02;34;0; ; ; ; ; ; ; ; ;Nederlands Kamerkoor verhuist naar Utrecht
15037;1;9;8/20/2016 11:34:31;259;2;26; ; ;2/3/2015 8:52:02;34;0; ; ; ; ; ; ; ; ;Nederlands Kamerkoor verhuist naar Utrecht
15037;1;21;8/30/2016 21:19:17;259;2;26; ; ;2/3/2015 8:52:02;34;0; ; ; ; ; ; ; ; ;Nederlands Kamerkoor verhuist naar Utrecht
15053;1;6;8/29/2016 12:08:02;166;2;26; ; ;2/3/2015 20:48:38;34;0; ; ; ; ; ; ; ; ; 'Arrestatiebevel president Argentinië gevonden in huis dode aa
15053;1;9;8/21/2016 14:17:59;166;2;26; ; ;2/3/2015 20:48:38;34;0; ; ; ; ; ; ; ; ; 'Arrestatiebevel president Argentinië gevonden in huis dode aa
15053;1;21;8/30/2016 22:48:48;166;2;26; ; ;2/3/2015 20:48:38;34;0; ; ; ; ; ; ; ; ; 'Arrestatiebevel president Argentinië gevonden in huis dode aa
15191;1;6;8/25/2016 10:16:23;480;2;26; ; ;2/9/2015 14:00:20;40;0; ; ; ; ; ; ; ; ;Er staat niet meer vaak genoeg Levi' 's op je broek
15191;1;9;8/19/2016 16:48:03;480;2;26; ; ;2/9/2015 14:00:20;40;0; ; ; ; ; ; ; ; ;Er staat niet meer vaak genoeg Levi' 's op je broek
15191;1;21;8/29/2016 16:26:31;480;2;26; ; ;2/9/2015 14:00:20;40;0; ; ; ; ; ; ; ; ;Er staat niet meer vaak genoeg Levi' 's op je broek
